Category,Category,FiedID,Phenotype,Path
Physical measures,100019,46,Hand grip strength (left),Assessment centre > Physical measures > Hand grip strength
Physical measures,100019,47,Hand grip strength (right),Assessment centre > Physical measures > Hand grip strength
Physical measures,100010,48,Waist circumference,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100010,49,Hip circumference,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100010,50,Standing height,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100010,51,Seated height,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100011,95,Pulse rate (during blood-pressure measurement),Assessment centre > Physical measures > Blood pressure
Physical measures,100011,96,Time since interview start at which blood pressure screen(s) shown,Assessment centre > Physical measures > Blood pressure
Touchscreen,100054,864,Number of days/week walked 10+ minutes,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,874,Duration of walks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,884,Number of days/week of moderate physical activity 10+ minutes,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,894,Duration of moderate activity,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,904,Number of days/week of vigorous physical activity 10+ minutes,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,914,Duration of vigorous activity,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,924,Usual walking pace,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,943,Frequency of stair climbing in last 4 weeks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,971,Frequency of walking for pleasure in last 4 weeks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,981,Duration walking for pleasure,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,991,Frequency of strenuous sports in last 4 weeks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,1001,Duration of strenuous sports,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,1011,Frequency of light DIY in last 4 weeks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,1021,Duration of light DIY,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,1070,Time spent watching television (TV),Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,1080,Time spent using computer,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,1090,Time spent driving,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,1100,Drive faster than motorway speed limit,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,2624,Frequency of heavy DIY in last 4 weeks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,2634,Duration of heavy DIY,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Physical measures,100010,3077,Seating box height,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100020,3088,Contra-indications for spirometry,Assessment centre > Physical measures > Spirometry
Physical measures,100020,3089,Caffeine drink within last hour,Assessment centre > Physical measures > Spirometry
Physical measures,100020,3090,Used an inhaler for chest within last hour,Assessment centre > Physical measures > Spirometry
Physical measures,100020,3159,Smoked cigarette or pipe within last hour,Assessment centre > Physical measures > Spirometry
Touchscreen,100054,3637,Frequency of other exercises in last 4 weeks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,3647,Duration of other exercises,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Physical measures,100018,4093,Fractured heel (left),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4096,Fractured heel (right),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4100,Ankle spacing width (left),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4101,Heel broadband ultrasound attenuation (left),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4103,Speed of sound through heel (left),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4105,Heel bone mineral density (BMD) (left),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4119,Ankle spacing width (right),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4120,Heel broadband ultrasound attenuation (right),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4122,Speed of sound through heel (right),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4124,Heel bone mineral density (BMD) (right),Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100018,4143,"Heel bone mineral density (BMD) T-score, manual entry (right)",Assessment centre > Physical measures > Bone-densitometry of heel
Physical measures,100049,4230,Signal-to-noise-ratio (SNR) of triplet (left),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4234,Time to press first digit (left),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4235,Time to press last digit (left),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4237,Time to press 'next' (left),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4239,Number of times 'clear' was pressed (left),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4241,Signal-to-noise-ratio (SNR) of triplet (right),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4245,Time to press first digit (right),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4246,Time to press last digit (right),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4247,Time to press 'next' (right),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4249,Number of times 'clear' was pressed (right),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4269,Number of triplets attempted (left),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4270,Volume level set by participant (left),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4272,Duration of hearing test (left),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4276,Number of triplets attempted (right),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4277,Volume level set by participant (right),Assessment centre > Physical measures > Hearing test
Physical measures,100049,4279,Duration of hearing test (right),Assessment centre > Physical measures > Hearing test
Physical measures,100012,6014,Doctor restricts physical activity due to heart condition,Assessment centre > Physical measures > ECG during exercise
Physical measures,100012,6015,Chest pain felt during physical activity,Assessment centre > Physical measures > ECG during exercise
Physical measures,100012,6016,Chest pain felt outside physical activity,Assessment centre > Physical measures > ECG during exercise
Physical measures,100012,6017,Able to walk or cycle unaided for 10 minutes,Assessment centre > Physical measures > ECG during exercise
Physical measures,100012,6032,Maximum workload during fitness test,Assessment centre > Physical measures > ECG during exercise
Physical measures,100012,6033,Maximum heart rate during fitness test,Assessment centre > Physical measures > ECG during exercise
Physical measures,100012,6034,Target heart rate achieved,Assessment centre > Physical measures > ECG during exercise
Physical measures,100012,6038,Number of trend entries,Assessment centre > Physical measures > ECG during exercise
Physical measures,100012,6039,Duration of fitness test,Assessment centre > Physical measures > ECG during exercise
Physical measures,100010,12143,Weight (pre-imaging),Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100010,12144,Height,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,101,12292,Carotid ultrasound measurement completed,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,104,12336,Ventricular rate,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,12338,P duration,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,12340,QRS duration,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,12654,Number of automated diagnostic comments recorded during 12-lead ECG,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,100010,20015,Sitting height,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100049,20019,Speech-reception-threshold (SRT) estimate (left),Assessment centre > Physical measures > Hearing test
Physical measures,100049,20021,Speech-reception-threshold (SRT) estimate (right),Assessment centre > Physical measures > Hearing test
Cognitive function online,117,20131,Number of correct matches in round,Online follow-up > Cognitive function online > Pairs matching
Cognitive function online,117,20132,Number of incorrect matches in round,Online follow-up > Cognitive function online > Pairs matching
Cognitive function online,117,20133,Time to complete round,Online follow-up > Cognitive function online > Pairs matching
Cognitive function online,121,20147,Errors before selecting correct item in numeric path (trail #1),Online follow-up > Cognitive function online > Trail making
Cognitive function online,121,20148,Errors before selecting correct item in alphanumeric path (trail #2),Online follow-up > Cognitive function online > Trail making
Cognitive function online,121,20149,Interval between previous point and current one in numeric path (trail #1),Online follow-up > Cognitive function online > Trail making
Physical measures,100020,20152,Reproduciblity of spirometry measurement using ERS/ATS criteria,Assessment centre > Physical measures > Spirometry
Physical measures,100020,20154,"Forced expiratory volume in 1-second (FEV1), predicted percentage",Assessment centre > Physical measures > Spirometry
Cognitive function online,121,20155,Interval between previous point and current one in alphanumeric path (trail #2),Online follow-up > Cognitive function online > Trail making
Cognitive function online,121,20156,Duration to complete numeric path (trail #1),Online follow-up > Cognitive function online > Trail making
Cognitive function online,121,20157,Duration to complete alphanumeric path (trail #2),Online follow-up > Cognitive function online > Trail making
Cognitive function online,122,20159,Number of symbol digit matches made correctly,Online follow-up > Cognitive function online > Symbol digit substitution
Cognitive function online,118,20167,FI2 : identify largest number,Online follow-up > Cognitive function online > Fluid intelligence / reasoning
Cognitive function online,118,20191,Fluid intelligence score,Online follow-up > Cognitive function online > Fluid intelligence / reasoning
Cognitive function online,122,20195,Number of symbol digit matches attempted,Online follow-up > Cognitive function online > Symbol digit substitution
Cognitive function online,122,20200,Values wanted,Online follow-up > Cognitive function online > Symbol digit substitution
Cognitive function online,122,20229,Values entered,Online follow-up > Cognitive function online > Symbol digit substitution
Cognitive function online,122,20230,Duration to entering symbol choice,Online follow-up > Cognitive function online > Symbol digit substitution
Cognitive function online,120,20240,Maximum digits remembered correctly,Online follow-up > Cognitive function online > Numeric memory
Cognitive function online,118,20242,Fluid intelligence completion status,Online follow-up > Cognitive function online > Fluid intelligence / reasoning
Cognitive function online,117,20244,Pairs matching completion status,Online follow-up > Cognitive function online > Pairs matching
Cognitive function online,122,20245,Symbol digit completion status,Online follow-up > Cognitive function online > Symbol digit substitution
Cognitive function online,121,20247,Total errors traversing numeric path (trail #1),Online follow-up > Cognitive function online > Trail making
Cognitive function online,121,20248,Total errors traversing alphanumeric path (trail #2),Online follow-up > Cognitive function online > Trail making
Physical measures,100020,20256,Forced expiratory volume in 1-second (FEV1) Z-score,Assessment centre > Physical measures > Spirometry
Physical measures,100020,20257,Forced vital capacity (FVC) Z-score,Assessment centre > Physical measures > Spirometry
Physical measures,100020,20258,FEV1/ FVC ratio Z-score,Assessment centre > Physical measures > Spirometry
Physical measures,100010,21001,Body mass index (BMI),Assessment centre > Physical measures > Anthropometry > Body size measures
Touchscreen,54,22032,IPAQ activity group,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores
Touchscreen,54,22033,Summed days activity,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores
Touchscreen,54,22034,Summed minutes activity,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores
Touchscreen,54,22035,At or above moderate/vigorous recommendation,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores
Touchscreen,54,22036,At or above moderate/vigorous/walking recommendation,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores
Touchscreen,54,22037,MET minutes per week for walking,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores
Touchscreen,54,22038,MET minutes per week for moderate activity,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores
Touchscreen,54,22039,MET minutes per week for vigorous activity,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores
Physical measures,104,22330,PQ interval,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,22331,QT interval,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,22332,QTC interval,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,22333,RR interval,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,22334,PP interval,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,22335,P axis,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,22336,R axis,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,22337,T axis,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,104,22338,QRS num,"Assessment centre > Physical measures > ECG at rest, 12-lead"
Physical measures,101,22670,Minimum carotid IMT (intima-medial thickness) at 120 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22671,Mean carotid IMT (intima-medial thickness) at 120 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22672,Maximum carotid IMT (intima-medial thickness) at 120 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22673,Minimum carotid IMT (intima-medial thickness) at 150 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22674,Mean carotid IMT (intima-medial thickness) at 150 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22675,Maximum carotid IMT (intima-medial thickness) at 150 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22676,Minimum carotid IMT (intima-medial thickness) at 210 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22677,Mean carotid IMT (intima-medial thickness) at 210 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22678,Maximum carotid IMT (intima-medial thickness) at 210 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22679,Minimum carotid IMT (intima-medial thickness) at 240 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22680,Mean carotid IMT (intima-medial thickness) at 240 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22681,Maximum carotid IMT (intima-medial thickness) at 240 degrees ,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22682,Quality control indicator for IMT at 120 degrees,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22683,Quality control indicator for IMT at 150 degrees,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22684,Quality control indicator for IMT at 210 degrees,Assessment centre > Physical measures > Carotid ultrasound
Physical measures,101,22685,Quality control indicator for IMT at 240 degrees,Assessment centre > Physical measures > Carotid ultrasound
Blood assays,1307,23000,1gG antigen for Herpes Simplex virus-1,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23001,2mgG unique antigen for Herpes Simplex virus-2,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23002,gE / gI antigen for Varicella Zoster Virus ,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23003,VCA p18 antigen for Epstein-Barr Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23004,EBNA-1 antigen for Epstein-Barr Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23005,ZEBRA antigen for Epstein-Barr Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23006,EA-D antigen for Epstein-Barr Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23007,pp150 Nter antigen for Human Cytomegalovirus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23008,pp 52 antigen for Human Cytomegalovirus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23009,pp 28 antigen for Human Cytomegalovirus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23010,IE1A antigen for Human Herpesvirus-6,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23011,IE1B antigen for Human Herpesvirus-6,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23012,p101 k antigen for Human Herpesvirus-6,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23013,U14 antigen for Human Herpesvirus-7,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23014,LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23015,K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23016,HBc antigen for Hepatitis B Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23017,HBe antigen for Hepatitis B Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23018,Core antigen for Hepatitis C Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23019,NS3 antigen for Hepatitis C Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23020,p22 antigen for Toxoplasma gondii,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23021,sag1 antigen for Toxoplasma gondii,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23022,HTLV-1 gag antigen for Human T-Lymphotropic Virus 1,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23023,HTLV-1 env antigen for Human T-Lymphotropic Virus 1,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23024,HIV-1 gag antigen for Human Immunodeficiency Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23025,HIV-1 env antigen for Human Immunodeficiency Virus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23026,BK VP1 antigen for Human Polyomavirus BKV,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23027,JC VP1 antigen for Human Polyomavirus JCV,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23028,MC VP1 antigen for Merkel Cell Polyomavirus,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23029,L1 antigen for Human Papillomavirus type-16,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23030,E6 antigen for Human Papillomavirus type-16,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23031,E7 antigen for Human Papillomavirus type-16,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23032,L1 antigen for Human Papillomavirus type-18,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23033,momp D antigen for Chlamydia trachomatis,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23034,momp A antigen for Chlamydia trachomatis,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23035,tarp-D F1 antigen for Chlamydia trachomatis,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23036,tarp-D F2 antigen for Chlamydia trachomatis,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23037,PorB antigen for Chlamydia trachomatis,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23038,pGP3 antigen for Chlamydia trachomatis,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23039,CagA antigen for Helicobacter pylori,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23040,VacA antigen for Helicobacter pylori,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23041,OMP antigen for Helicobacter pylori,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23042,GroEL antigen for Helicobacter pylori,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23043,Catalase antigen for Helicobacter pylori,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,1307,23044,UreA antigen for Helicobacter pylori,Biological samples > Blood assays > Infectious Diseases > Infectious Disease Antigens
Blood assays,51428,23050,HSV-1 seropositivity for Herpes Simplex virus-1,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23051,HSV-2 seropositivity for Herpes Simplex virus-2,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23052,VZV seropositivity for Varicella Zoster Virus ,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23053,EBV seropositivity for Epstein-Barr Virus,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23054,CMV seropositivity for Human Cytomegalovirus,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23055,HHV-6 overall seropositivity for Human Herpesvirus-6,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23056,HHV-6A seropositivity for Human Herpesvirus-6,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23057,HHV-6B seropositivity for Human Herpesvirus-6,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23058,HHV-7 seropositivity for Human Herpesvirus-7,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23059,KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23060,HBV seropositivity for Hepatitis B Virus,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23062,T. gondii seropositivity for Toxoplasma gondii,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23063,HTLV-1 seropositivity for Human T-Lymphotropic Virus 1,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23065,BKV seropositivity for Human Polyomavirus BKV,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23066,JCV seropositivity for Human Polyomavirus JCV,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23067,MCV seropositivity for Merkel Cell Polyomavirus,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23068,HPV 16 Definition I seropositivity for Human Papillomavirus type-16,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23069,HPV 18 seropositivity for Human Papillomavirus type-18,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23070,C. trachomatis Definition I seropositivity for Chlamydia trachomatis,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23071,C. trachomatis Definition II seropositivity for Chlamydia trachomatis,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23073,H. pylori Definition I seropositivity for Helicobacter pylori,Biological samples > Blood assays > Infectious Diseases
Blood assays,51428,23074,H. pylori Definition II seropositivity for Helicobacter pylori,Biological samples > Blood assays > Infectious Diseases
